Date,1mo CPR,Gross Coupon,Accum Net Loss%,Annualized Net Loss Rate,Delinq 30+,Number of Assets,Life CDR,Open,High,Low,Close,Adj_Close,Volume
2019-10-08 00:00:00,OPF1319A,32.24,0.04,0.26,1.68,94639.0,0.25,15.29,15.5,15.001,15.23,15.23,159300
2019-11-08 00:00:00,OPF1319A,32.16,0.11,0.87,2.59,95440.0,0.4,16.99,17.52,16.700001,17.16,17.16,92900
2019-12-08 00:00:00,OPF1319A,32.05,0.56,5.35,3.02,95267.0,1.39,20.27,20.620001,19.985001,20.4,20.4,102100
2020-01-08 00:00:00,OPF1319A,31.96,1.28,8.68,3.61,94006.0,2.58,23.690001,23.77,22.99,23.09,23.09,77000
2020-02-08 00:00:00,OPF1319A,31.85,2.05,9.17,3.83,92466.0,3.51,20.469999,21.716,20.1,20.690001,20.690001,25100
2020-03-08 00:00:00,OPF1319A,31.75,2.84,9.47,3.63,90643.0,4.25,19.700001,19.99,18.280001,19.110001,19.110001,72600
2020-04-08 00:00:00,OPF1319A,31.63,3.68,10.18,3.61,89428.0,4.91,8.22,8.22,7.2,7.54,7.54,186600
2020-05-08 00:00:00,OPF1319A,31.53,4.5,9.8,3.58,88197.0,5.39,6.5,7.13,6.5,7.05,7.05,246300
2020-06-08 00:00:00,OPF1319A,31.45,5.4,10.83,3.52,87812.0,5.88,13.56,15.49,13.56,15.15,15.15,280300
2020-07-08 00:00:00,OPF1319A,31.36,6.39,11.81,3.26,86965.0,6.37,12.71,13.09,12.71,13.0,13.0,77200
2020-08-08 00:00:00,OPF1319A,31.31,7.34,11.42,3.17,86204.0,6.76,16.610001,16.790001,14.9,15.03,15.03,125100
2020-09-08 00:00:00,OPF1319A,31.25,8.17,9.96,3.13,86876.0,7.0,12.41,13.42,12.32,13.26,13.26,115000
2020-10-08 00:00:00,OPF1319A,31.15,8.87,8.41,3.13,87017.0,7.11,14.49,14.86,14.21,14.76,14.76,59500
2020-11-08 00:00:00,OPF1319A,31.07,9.65,9.34,3.17,86869.0,7.25,15.69,16.370001,15.08,15.08,15.08,78000
2020-12-08 00:00:00,OPF1319A,30.99,10.3,7.79,3.09,86818.0,7.29,17.719999,18.0,17.67,17.91,17.91,101700
2021-01-08 00:00:00,OPF1319A,30.92,11.08,9.39,3.21,86904.0,7.42,18.35,18.35,17.76,18.23,18.23,31900
2021-02-08 00:00:00,OPF1319A,30.88,11.79,8.49,2.97,87854.0,7.48,17.02,17.76,17.014999,17.57,17.57,39900
2021-03-08 00:00:00,OPF1319A,30.85,12.34,6.6,2.73,88205.0,7.45,18.99,19.940001,18.764999,19.58,19.58,79900
2021-04-08 00:00:00,OPF1319A,30.81,13.01,8.09,2.32,88814.0,7.52,21.139999,21.290001,19.92,21.26,21.26,65200
2021-05-08 00:00:00,OPF1319A,30.78,13.51,5.97,2.03,90178.0,7.48,19.379999,22.0,19.379999,21.799999,21.799999,209900
2021-06-08 00:00:00,OPF1319A,30.75,13.91,4.77,2.18,92012.0,7.4,20.879999,21.5,20.389999,20.799999,20.799999,135100
2021-07-08 00:00:00,OPF1319A,30.72,14.36,5.46,2.15,92961.0,7.34,19.629999,19.93,19.25,19.690001,19.690001,45000
2021-08-08 00:00:00,OPF1319A,30.72,14.74,4.53,2.38,93989.0,7.26,24.9,25.0,23.764,24.26,24.26,79100
2021-09-08 00:00:00,OPF1319A,30.68,15.23,5.84,2.52,94645.0,7.22,25.18,25.280001,24.58,24.799999,24.799999,39000
2021-10-08 00:00:00,OPF1319A,30.65,15.72,5.94,2.64,94541.0,7.19,25.549999,25.940001,24.93,25.25,25.25,205800
2021-11-08 00:00:00,OPF1319A,30.64,16.32,7.16,3.0,93572.0,7.21,25.58,26.99,24.969999,26.83,26.83,133200
2021-12-08 00:00:00,OPF1319A,30.63,16.82,5.99,3.28,92378.0,7.18,22.299999,23.15,21.475,22.629999,22.629999,117400
2022-01-08 00:00:00,OPF1319A,30.61,17.56,8.97,3.64,90548.0,7.25,20.209999,20.57,19.959999,20.059999,20.059999,62800
2022-02-08 00:00:00,OPF1319A,30.55,18.4,10.0,3.88,88965.0,7.34,16.969999,17.450001,16.799999,17.23,17.23,164000
2022-03-08 00:00:00,OPF1319A,30.52,19.09,8.33,3.96,86600.0,7.38,13.46,13.57,12.94,13.13,13.13,140900
2022-04-08 00:00:00,OPF1319A,30.51,19.58,5.83,3.8,84374.0,7.47,13.82,14.34,13.65,14.07,14.07,97800
2022-05-08 00:00:00,OPF1319A,30.5,20.39,9.7,3.58,83211.0,7.54,11.55,11.559,10.59,10.79,10.79,199000
2022-06-08 00:00:00,OPF1319A,30.49,21.29,10.81,3.74,82294.0,7.64,12.67,12.79,12.06,12.15,12.15,119000
2022-07-08 00:00:00,OPF1319A,30.5,21.93,7.73,3.88,81322.0,7.72,8.88,9.0,8.65,8.81,8.81,150500
2022-08-08 00:00:00,OPF1319A,30.5,22.9,11.63,4.28,80791.0,7.82,10.24,10.86,10.24,10.77,10.77,186300
